scene	filename	lm_scene	keyword	alt1	alt2	alt3	alt4	alt5	snr	interferer.type	num_tokens
S51959	QE8kNh52EeU-604.7-609.9	0.23	saving	david	None	taking	timing	raising	-13.5	speech	13
S50682	UL95OYBRbOc-336.7-341.4	0.23	past	best	None	vast	band	test	-13.5	speech	9
S50880	OfCLTQhW9GQ-101.2-106.6	0.24	weakness	texas	secret	fitness	weakness	business	-13.5	speech	13
S50274	bUqur6hZvKg-350.6-354.4	0.24	concern	condone	consult	confirm	contain	None	-13.5	speech	10
S50778	utiLrnvawQQ-463.3-466.8	0.25	third	term	learn	None	bird	nurse	-13.5	speech	8
S52141	WxPGJhyFIZk-161.9-165.7	0.25	following	filling	farming	feeling	falling	following	-13.5	speech	13
S50316	IGJt7QmtUOk-772.2-776.5	0.25	nothing	putting	nothing	sitting	missing	running	-13.5	speech	9
S51282	OfCLTQhW9GQ-158.0-161.3	0.25	sleeping	slipping	stopping	None	grieving	dropping	-13.5	speech	13
S51625	sBQv41YbdCk-215.7-219.8	0.25	myth	pit	beer	meat	myth	mass	-13.5	speech	7
S52743	PNLwMSvPurc-309.4-313.1	0.26	call	call	cause	cut	care	kill	-13.5	speech	9
S50378	9EBkS2kE7uk-1164.0-1167.5	0.26	table	table	label	bible	total	title	-13.5	speech	10
S51288	JJyeKiT8g4g-600.1-603.4	0.26	kids	cuts	heads	goods	kids	guns	-13.5	speech	11
S50256	fFJeTy1_8Ng-376.2-382.5	0.26	emotions	emotions	devotion	moment	missions	emissions	-13.5	speech	13
S52333	9EBkS2kE7uk-251.8-254.9	0.26	heard	learn	heard	burn	hurt	turn	-13.5	speech	11
S50745	kdAs3UVgIGg-281.1-285.8	0.26	biology	psychology	ideology	ecology	geology	biology	-13.5	speech	13
S50320	FrqBWQ-mVEc-200.9-204.9	0.27	child	tribes	trial	china	blind	None	-13.5	speech	11
S51696	-3y6_7_5PcQ-325.5-329.5	0.27	making	making	taking	facing	fighting	naming	-13.5	speech	10
S51713	slbfAfEvnQ0-626.1-629.2	0.27	happen	happen	hidden	seven	habit	rabbit	-13.5	speech	12
S51863	MgM8MGEikDY-162.7-164.7	0.27	look	dog	rock	look	talk	long	-13.5	speech	8
S51302	DhnBn_c9f8Q-651.7-654.9	0.28	studying	starting	studying	stopping	starving	stealing	-13.5	speech	11
S50647	BTB_HPL2r88-781.2-783.5	0.28	amazing	avoiding	training	breaking	amazing	trading	-13.5	speech	7
S51747	PNLwMSvPurc-268.3-272.4	0.28	additional	national	None	traditional	original	medicinal	-13.5	speech	11
S51390	Sek29hwUjZE-72.0-74.9	0.28	changing	changing	training	challenging	chasing	charging	-13.5	speech	10
S50176	vMQlj9TZQfE-93.9-96.9	0.28	thrive	crime	drive	thrive	flies	trade	-13.5	speech	9
S52109	-3y6_7_5PcQ-312.3-316.0	0.29	seven	salmon	given	level	season	None	-13.5	speech	7
S50537	bWA1gvA5lxU-941.2-945.0	0.3	give	come	get	gear	give	keep	-13.5	speech	8
S51764	z9jXW9r1xr8-27.8-30.1	0.3	talking	seeking	talking	looking	singing	knocking	-13.5	speech	7
S51538	sBQv41YbdCk-271.5-274.5	0.31	think	sink	bank	think	six	rank	-13.5	speech	9
S52212	BTB_HPL2r88-648.5-652.4	0.06	degrading	dividing	detailing	grazing	trading	degrading	-9.3	noise	7
S52323	oMBVxhO57JE-439.6-445.3	0.08	basic	racing	facing	making	dating	basic	-9.3	noise	12
S51022	WxPGJhyFIZk-503.5-506.9	0.08	shuttered	coloured	covered	shuttered	colored	southern	-9.3	noise	7
S51568	wRG5_-9eE4w-160.4-164.5	0.08	misplacing	replacing	misplacing	placing	displaying	explaining	-9.3	noise	9
S52203	UL95OYBRbOc-447.3-454.0	0.09	black	flat	black	track	blog	block	-9.3	noise	8
S51742	FG6NHP9nV3g-310.8-314.4	0.09	discovering	uncovering	recovering	delivering	discovering	discussing	-9.3	noise	10
S52269	JJyeKiT8g4g-108.3-113.0	0.09	kids	cuts	goods	heads	kids	guns	-9.3	noise	9
S51248	13zN4-MVM9g-166.3-170.5	0.1	replicate	elevate	regulate	None	dedicate	complicate	-9.3	noise	8
S50112	kWyQNCOow7A-565.3-569.4	0.17	mission	pushes	fashion	mission	button	vision	-9.3	noise	11
S50035	zY2ksORCLbs-556.6-560.7	0.18	isn't	wasn't	aren't	doesn't	isn't	hasn't	-9.3	noise	11
S51772	WxPGJhyFIZk-975.3-979.6	0.18	loved	left	leaves	lost	lived	loved	-9.3	noise	10
S51716	2g8BeujckJY-67.3-72.6	0.18	right	line	knight	right	rate	light	-9.3	noise	13
S50631	-3y6_7_5PcQ-215.8-220.5	0.18	drastically	tragically	practically	dramatically	drastically	radically	-9.3	noise	9
S50534	ir5yzW0yIk0-221.8-225.0	0.19	risk	risk	lost	list	dark	desk	-9.3	noise	10
S51395	bqQJv4bvrPI-738.8-743.5	0.19	reaching	teaching	watching	yielding	reaching	catching	-9.3	noise	10
S51215	VasJyDmMafA-680.4-683.2	0.19	like	take	like	live	ride	write	-9.3	noise	8
S52192	UL95OYBRbOc-492.5-494.6	0.19	took	book	suck	took	dug	look	-9.3	noise	7
S50254	8_cEKbzbC98-269.1-274.5	0.2	advancing	addressing	convincing	enhancing	advancing	dancing	-9.3	noise	12
S51491	I6xuJu7gLe0-634.0-642.3	0.2	rights	lines	rights	rates	lights	signs	-9.3	noise	13
S50756	VasJyDmMafA-468.0-471.7	0.2	fined	bound	kind	mind	found	fined	-9.3	noise	11
S52738	B6rIUxHZ9f4-609.5-612.6	0.2	save	time	life	save	gave	live	-9.3	noise	9
S50774	utiLrnvawQQ-82.4-86.0	0.21	information	information	animation	innovation	integration	informational	-9.3	noise	9
S50435	wGGmzeCT8gU-145.2-148.2	0.21	star	spot	store	still	None	spare	-9.3	noise	8
S51777	hn8N8p9P5gw-495.4-498.9	0.21	separates	generates	celebrates	elevates	separates	operates	-9.3	noise	10
S52095	zY2ksORCLbs-470.7-472.7	0.21	math	math	man	bet	myth	path	-9.3	noise	7
S52501	slbfAfEvnQ0-509.1-511.4	0.21	basics	matrix	lyrics	basics	physics	bicycle	-9.3	noise	7
S52725	Mm-_QZ_tf0s-310.4-314.3	0.21	needle	little	legal	middle	None	reason	-9.3	noise	13
S51332	PNLwMSvPurc-637.1-642.5	0.22	packages	None	images	managers	messages	pages	-9.3	noise	13
S50707	kWyQNCOow7A-425.2-428.1	0.22	person	None	burden	hurdle	purpose	certain	-9.3	noise	7
S51820	2g8BeujckJY-543.4-545.6	0.23	less	less	read	lead	laws	let	-9.3	noise	8
S50857	TLZ6W-Nqv1I-232.8-236.4	0.23	they'd	race	side	they'll	None	late	-9.3	noise	12
S52503	8NSQYO2es3U-329.3-334.8	0.23	climate	quiet	private	cricket	christ	None	-9.3	noise	10
S50872	I3BJVaioX_k-141.0-144.4	0.24	war's	weird	what's	year's	one's	war's	-9.3	noise	13
S52404	PNLwMSvPurc-276.7-279.8	0.24	reduce	reduce	receive	remove	release	today	-9.3	noise	10
S52383	TLZ6W-Nqv1I-430.9-437.3	0.24	could	god	good	get	None	got	-9.3	noise	12
S50754	8NSQYO2es3U-480.0-483.7	0.24	arrogance	arrogance	arrogant	evidence	reference	evident	-9.3	noise	10
S50201	WxPGJhyFIZk-741.0-744.0	0.25	like	right	lake	like	life	take	-9.3	noise	12
S50312	z3d_UsYgt1c-218.6-226.4	0.25	shrinking	banking	thinking	shrinking	tracking	printing	-9.3	noise	13
S50868	2KMk1lJGPlk-459.2-462.0	0.25	predictor	predict	prediction	predictable	predictor	printer	-9.3	noise	8
S50471	uwKS1lT_YZU-97.7-101.8	0.25	mean	meat	man	mean	men	meet	-9.3	noise	7
S51305	slbfAfEvnQ0-623.2-626.1	0.26	fairness	business	goodness	fairness	thickness	madness	-9.3	noise	12
S51290	9EBkS2kE7uk-887.0-891.0	0.26	qualified	qualify	classified	clarified	qualified	modified	-9.3	noise	13
S50481	QE8kNh52EeU-340.0-342.7	0.26	culture	torture	nature	None	shelter	picture	-9.3	noise	9
S50512	uwKS1lT_YZU-723.9-726.7	0.27	advocating	navigating	indicating	advocating	agitating	educating	-9.3	noise	7
S51784	bqQJv4bvrPI-629.5-634.4	0.27	experience	experience	expedient	expediency	exterior	inexperienced	-9.3	noise	13
S52303	13zN4-MVM9g-171.5-176.8	0.27	asylum	arrival	item	cycle	asylum	silence	-9.3	noise	13
S51714	opdCfb8cCFw-28.4-31.6	0.28	water	water	better	user	weather	mother	-9.3	noise	7
S52214	WxPGJhyFIZk-420.6-423.1	0.29	getting	hitting	giving	setting	calling	getting	-9.3	noise	8
S51789	y3emv9DIEkE-372.4-374.8	0.29	would	good	you're	one	war	None	-9.3	noise	8
S50917	zY2ksORCLbs-259.2-262.7	0.3	legacy	legacy	biggest	policy	lessons	rarity	-9.3	noise	10
S51198	13zN4-MVM9g-131.8-136.3	0.3	good	good	core	cause	gun	kid	-9.3	noise	11
S50097	BTB_HPL2r88-594.6-597.2	0.3	challenge	talents	chatted	None	change	challenger	-9.3	noise	10
S50539	BAswj8evFZk-138.9-140.9	0.32	made	made	paid	bathe	make	might	-9.3	noise	7
S50867	BAswj8evFZk-676.4-680.3	0.32	nothing	putting	sitting	nothing	running	missing	-9.3	noise	10
